SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,CHAMBLFERT,CHAMBAL FERTILIZERS LTD,18/01/2024, , ,18/01/2024, , ,BUY BACK                 
BE,AHLEAST,Asian Hotels (East) Ltd, ,26/01/2024,01/02/2024,25/01/2024, , ,EGM                      
BE,WIPRO,WIPRO LTD,24/01/2024, , ,24/01/2024, , ,INTDIV - RE 1 PER SH     
BE,PCBL,Phillips Carbon Black,29/01/2024, , ,29/01/2024, , ,INTDIV - RS 5.50 PER SH  
BE,MASFIN,MAS Financial Serv Ltd,22/01/2024, , ,22/01/2024, , ,INTDIV - RS 3 PER SH     
BE,TINPLATE,THE TINPLATE CO. (I) LTD,19/01/2024, , , , , ,MERGER                   
BE,SIEMENS,SIEMENS LTD - DEPO SETT., ,31/01/2024,13/02/2024,30/01/2024, , ,DIV - RS 10 PER SH       
BE,SBC,SBC Exports Limited,19/01/2024, , ,19/01/2024, , ,BONUS 1:2                
BE,SABTN,Sri Adhikari Brothers Tel,24/01/2024, , ,24/01/2024, , ,CAPITAL REDUCTION        
BE,ADROITINFO,Adroit Infotech Limited,19/01/2024, , ,19/01/2024, , ,RIGHTS 3:2 @ PRM RS 5/-  
BE,HCLTECH,HCL Technologies Ltd.,20/01/2024, , ,19/01/2024, , ,INTDIV - RS 12 PER SH    
BE,ANGELONE,Angel One Limited,23/01/2024, , ,23/01/2024, , ,INTDIV-RS 12.70 PER SH   
BE,TCS,TATA CONSULTANCY SERV LTD,19/01/2024, , ,19/01/2024, , ,INTDIV- RS 9 SPLDV RS 18 
BE,AKSHAR,Akshar Spintex Limited, ,25/01/2024,31/01/2024,24/01/2024, , ,EGM                      
EQ,CHAMBLFERT,Chambal Fertilizers Ltd.,18/01/2024, , ,18/01/2024, , ,BUY BACK                 
EQ,WIPRO,Wipro Ltd,24/01/2024, , ,24/01/2024, , ,INTDIV - RE 1 PER SH     
EQ,MASFIN,MAS Financial Serv Ltd,22/01/2024, , ,22/01/2024, , ,INTDIV - RS 3 PER SH     
EQ,AKSHAR,Akshar Spintex Limited, ,25/01/2024,31/01/2024,24/01/2024, , ,EGM                      
EQ,HCLTECH,HCL Technologies Ltd.,20/01/2024, , ,19/01/2024, , ,INTDIV - RS 12 PER SH    
