GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,SUN PHARMACEUTICAL IND L,      1335.75,      1299.00,2.83
G,CIPLA LTD,      1322.95,      1294.00,2.24
G,TECH MAHINDRA LIMITED,      1355.15,      1326.75,2.14
G,TATA MOTORS LIMITED,       819.05,       805.55,1.68
G,AXIS BANK LIMITED,      1097.50,      1082.30,1.4
G,MAHINDRA & MAHINDRA LTD,      1617.25,      1597.70,1.22
G,APOLLO HOSPITALS ENTER. L,      5990.85,      5925.90,1.1
G,TATA CONSUMER PRODUCT LTD,      1146.80,      1138.60,.72
G,LARSEN & TOUBRO LTD.,      3596.00,      3570.95,.7
G,OIL AND NATURAL GAS CORP.,       233.55,       232.05,.65
G,HERO MOTOCORP LIMITED,      4394.00,      4370.85,.53
G,ICICI BANK LTD.,       986.35,       981.75,.47
G,RELIANCE INDUSTRIES LTD,      2735.90,      2723.15,.47
G,TATA CONSULTANCY SERV LT,      3902.60,      3884.60,.46
G,ULTRATECH CEMENT LIMITED,      9892.25,      9854.65,.38
G,STATE BANK OF INDIA,       628.30,       626.00,.37
G,BHARAT PETROLEUM CORP  LT,       473.20,       471.65,.33
G,HDFC LIFE INS CO LTD,       607.80,       606.60,.2
G,BHARTI AIRTEL LIMITED,      1087.05,      1085.25,.17
G,INFOSYS LIMITED,      1642.60,      1640.20,.15
G,WIPRO LTD,       482.65,       482.40,.05
G,DR. REDDY S LABORATORIES,      5649.95,      5649.95,0
 , , , , 
L,HDFC BANK LTD,      1486.15,      1537.50,-3.34
L,NTPC LTD,       299.30,       309.30,-3.23
L,TITAN COMPANY LIMITED,      3734.70,      3830.05,-2.49
L,ASIAN PAINTS LIMITED,      3163.85,      3242.30,-2.42
L,POWER GRID CORP. LTD.,       233.45,       239.20,-2.4
L,INDUSIND BANK LIMITED,      1612.90,      1643.90,-1.89
L,ADANI ENTERPRISES LIMITED,      2918.90,      2971.05,-1.76
L,NESTLE INDIA LIMITED,      2502.00,      2543.10,-1.62
L,EICHER MOTORS LTD,      3691.15,      3751.10,-1.6
L,BAJAJ FINANCE LIMITED,      7265.55,      7358.85,-1.27
L,MARUTI SUZUKI INDIA LTD.,      9924.50,     10051.70,-1.27
L,UPL LIMITED,       544.20,       551.00,-1.23
L,BAJAJ AUTO LIMITED,      7083.60,      7165.95,-1.15
L,SBI LIFE INSURANCE CO LTD,      1404.90,      1421.15,-1.14
L,JSW STEEL LIMITED,       803.65,       812.65,-1.11
L,ADANI PORT & SEZ LTD,      1154.05,      1166.85,-1.1
L,COAL INDIA LTD,       375.65,       379.65,-1.05
L,HINDALCO  INDUSTRIES  LTD,       554.90,       560.25,-0.95
L,BRITANNIA INDUSTRIES LTD,      5015.15,      5061.70,-0.92
L,DIVI S LABORATORIES LTD,      3700.20,      3728.80,-0.77
L,GRASIM INDUSTRIES LTD,      2053.65,      2067.85,-0.69
L,HINDUSTAN UNILEVER LTD.,      2548.00,      2562.90,-0.58
L,HCL TECHNOLOGIES LTD,      1567.55,      1575.90,-0.53
L,TATA STEEL LIMITED,       131.00,       131.65,-0.49
L,BAJAJ FINSERV LTD.,      1581.15,      1586.15,-0.32
L,ITC LTD,       465.50,       466.60,-0.24
L,KOTAK MAHINDRA BANK LTD,      1777.25,      1779.65,-0.13
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,ONE 97 COMMUNICATIONS LTD,       754.30,       736.25,2.45
G,INDUS TOWERS LIMITED,       215.95,       211.25,2.22
G,HDFC AMC LIMITED,      3402.55,      3334.40,2.04
G,ZOMATO LIMITED,       129.45,       127.40,1.61
G,LIFE INSURA CORP OF INDIA,       901.20,       887.50,1.54
G,BHARAT ELECTRONICS LTD,       188.20,       185.65,1.37
G,SHREE CEMENT LIMITED,     26477.15,     26137.00,1.3
G,VEDANTA LIMITED,       267.55,       264.85,1.02
G,BANK OF BARODA,       227.70,       225.50,0.98
G,AMBUJA CEMENTS LTD,       524.15,       520.55,0.69
G,ACC LIMITED,      2260.10,      2251.80,0.37
G,P&G HYGIENE & HEALTH CARE,     17310.40,     17246.90,0.37
G,HINDUSTAN AERONAUTICS LTD,      2967.60,      2958.30,0.31
G,GODREJ CONSUMER PRODUCTS,      1103.90,      1100.50,0.31
G,INDIAN OIL CORP LTD,       144.50,       144.10,0.28
G,CHOLAMANDALAM IN & FIN CO,      1291.65,      1288.10,0.28
G,BIOCON LIMITED.,       280.30,       279.70,0.21
G,DLF LIMITED,       775.45,       775.30,0.02
 , , , , 
L,ICICI PRU LIFE INS CO LTD,       486.20,       514.95,-5.58
