SECURITY,NEW,PREVIOUS,NEW_STATUS
PCBL LIMITED,317.95,290.85,H
VERTOZ ADVERTISING LTD,758.5,689.55,H
WALPAR NUTRITIONS LIMITED,126.75,120.75,H
ZUARI INDUSTRIES LIMITED,247.4,243.1,H
ELECTROTHERM (I) LTD.,316.3,310.1,H
GANGA FORGING LIMITED,10.75,10.25,H
GOI TBILL 364D-26/01/24,99.8,99.5,H
SERENCD8.50%SR.IICIII&IV,1031.89,1030,H
GOI TBILL 364D-17/10/24,94.55,94.32,H
DOLPHIN OFF ENT (IND) L,1691.3,1658.15,H
IBL FINANCE LIMITED,64.75,61.7,H
SEC RE NCD SR. IV,1135,1125,H
DYNAMATIC TECHNOLOGIES,5950,5480,H
CREST VENTURES LIMITED,348.9,329.8,H
2.50%GOLDBONDS2026SR-III,6450,6379.95,H
VIVIANA POWER TECH LTD,300,287.75,H
GOI TBILL 364D-25/04/24,97.84,97.57,H
AURUM PRO RS.1.25 PPD UP,109,102.8,H
ASL INDUSTRIES LIMITED,51,50.7,H
INDUSTRIAL INV TRUST LTD,237.6,232.95,H
GACM TECHNOLOGIES LIMITED,2.35,2.3,H
TATAAML-TATSILV,9.17,8.4,H
FDC LIMITED,445.75,432.8,H
KAMAT HOTELS (I) LTD,352.3,340,H
SOBHA LIMITED,1556.75,1407.75,H
MINDA CORPORATION LTD,409.55,408.7,H
RAVINDER HEIGHTS LIMITED,60.9,58.6,H
AXISAMC - AXISBPSETF,13.3,12.95,H
KOTAKMAMC - KOTAKLOVOL,18.55,18.15,H
MONARCH NETWORTH CAP LTD,516.8,514,H
ISHAN INTERNATIONAL LTD,137.85,131.3,H
SEC RE NCD 0% SR.II,1018,1005.65,H
GIRIRAJ CIVIL DEVP LTD,865.35,824.15,H
GOI TBILL 91D-07/03/24,99,98.98,H
GPT INFRAPROJECTS LTD,172.35,169.8,H
BARTRONICS INDIA LIMITED,22.05,21.65,H
SEC RE NCD SR 2,1200.24,1199,H
GOI TBILL 182D-14/03/24,98.81,98.75,H
NITCO LIMITED,39.1,38.35,H
APOLLO TYRES LTD,506.3,485,H
GRP LIMITED,5225,5200,H
KAMDHENU LIMITED,510.4,493,H
INDIAN RAILWAY FIN CORP L,155,150.7,H
2.50%GOLDBONDS2027SR-VI,6386.9,6380.9,H
TECHINDIA NIRMAN LIMITED,29.45,28.05,H
BIRLASLAMC - MOMENTUM,29.21,28.8,H
GE T&D INDIA LIMITED,669,655.05,H
SEC RE NCD 8.25% SR 1,1024.9,1021.95,H
GOI TBILL 182D-22/02/24,99.24,99.09,H
SRI ADHIKARI BROS.,3.6,3.55,H
KCK INDUSTRIES LTD,43.3,39.4,H
HDFCAMC - HDFCQUAL,52.51,51.78,H
GOI TBILL 182D-16/05/24,97.77,97.64,H
PAKKA LIMITED,335.2,316.4,H
ADROIT INFOTECH LIMITED,29.45,22.35,H
WANBURY LIMITED,145.25,142.45,H
GOI TBILL 364D-02/05/24,97.71,97.56,H
SHEKHAWATI POLY-YARN LTD.,2.2,2.15,H
JYOTI CNC AUTOMATION LTD,484,448.9,H
TATAAML-TATAGOLD,8.5,7.2,H
AJMERA REALTY & INF I LTD,594,523.75,H
PERSISTENT SYSTEMS LTD,7897.6,7880,H
LICNAMC - LICNFENGP,245,240.11,H
DSPAMC - DSPQ50ETF,215.15,215,H
INCREDIBLE INDUSTRIES LTD,50.55,48.15,H
MSTC LIMITED,1008,996,H
ZF COM VE CTR SYS IND LTD,17099,16945,H
GOI TBILL 182D-07/03/24,98.96,98.95,H
MELSTAR INFORMATION TECH,5.85,5.75,H
GOI TBILL 364D-18/07/24,96.56,96.3,H
DIAMOND POWER INFRA LTD,210.9,206.8,H
GOI TBILL 182D-04/07/24,96.75,96.62,H
MAGNUM VENTURES LTD.,70.55,68.5,H
WELSPUN CORP LIMITED,608,579.3,H
ORACLE FIN SERV SOFT LTD.,6622.8,5145,H
TARMAT LIMITED,107.5,103.7,H
QUICK HEAL TECH LTD,501.6,455.7,H
SHREE DIGVIJAY CEM CO LTD,114.55,111.9,H
GOI TBILL 182D-25/04/24,98.17,98.16,H
BODHI TREE MULTIMEDIA LTD,221.9,218.35,H
GOI TBILL 364D-03/10/24,95.14,95.02,H
GOI TBILL 364D-26/12/24,93.7,93.61,H
AKANKSHA POWER N INFRA L,121.95,110.9,H
APOLLO HOSPITALS ENTER. L,6028.95,5980.35,H
VOLTAMP TRANSFORMERS LTD,7278,7123,H
CENTURY EXTRUSIONS LTD,28.15,26.85,H
RPG LIFE SCIENCES LTD,1557,1505,H
IIFL SECURITIES LIMITED,166.9,165.1,H
SURANI STEEL TUBES LTD.,395.25,384.7,H
RAIL VIKAS NIGAM LIMITED,251.4,245.9,H
2.50%GOLDBONDS2025SR-XIII,6450,6397,H
UNITECH LIMITED,12.45,11.9,H
SEC RE NCD SR.V,1116.02,1098,H
GOI TBILL 182D-18/04/24,98.1,98.04,H
MOS UTILITY LIMITED,125.2,118,H
GOI TBILL 364D-13/06/24,97.2,96.9,H
BAJEL PROJECTS LIMITED,177,172,H
BKM INDUSTRIES LIMITED,1.9,1.85,H
INTEGRA ESSENTIA LIMITED,7.55,6.9,H
CUPID LIMITED,2019.9,1942.9,H
GOI TBILL 364D-16/05/24,97.73,97.45,H
LAXMI GOLDORNA HOUSE LTD,206.85,205.25,H
ICICIPRAMC - IPRU5008,45.99,46.48,L
SHEETAL UNIVERSAL LIMITED,76.55,78.45,L
MCNALLY BH. ENG. CO.LTD,6.15,6.25,L
DIGIDRIVE DISTRIBUTORS L,72.4,76.2,L
RACHANA INFRA LTD,82.1,85,L
BOHRA INDUSTRIES LIMITED,26.5,26.95,L
PODDAR HOUSE & DVPT LTD,109.95,110,L
KCPSUGARINDUS,34,34.7,L
ALANKIT LIMITED,21.8,22.25,L
TRIDHYA TECH LIMITED,32.45,32.5,L
FLAIR WRITING INDUST LTD,331.05,340,L
GANDHAR OIL REFINE IND L,249,253,L
ATLANTAA LIMITED,20.8,21.15,L
SUMIT WOODS LIMITED,58.35,59.5,L
SUPER SPINNING MILLS LTD,8.1,8.25,L
ZODIAC ENERGY LIMITED,319.25,325.75,L
GRASIM IND LTD,281.25,320.05,L
GOI TBILL 182D-11/07/24,96.35,96.74,L
HMA AGRO INDUSTRIES LTD,67.65,68.1,L
GACM TECHNOLOGIES LIMITED,7.45,7.6,L
SHRENIK LIMITED,1.15,1.2,L
SEC RE NCD 10.05% SR.IV,876,970.2,L
SDL RJ 7.73% 2033,95,98,L
TATAAML-TATAGOLD,6.1,6.15,L
HRH NEXT SERVICES LIMITED,48.25,48.65,L
TVS SUPPLY CHAIN SOL L,192.1,193.8,L
INVENTURE GRO & SEC LTD,2.9,2.95,L
ICICIPRAMC - ICICISILVE,72.3,72.42,L
INOX INDIA LIMITED,839.55,855.1,L
MUKTA ARTS LIMITED,93.2,95.1,L
SUVIDHAA INFOSERVE LTD,8.15,8.3,L
HIMADRI SPECIALITY CHEM L,358.1,369,L
SHREEOSWAL S AND CHE LTD,47.1,48.9,L
MUTHOOT MICROFIN LIMITED,227.45,232.2,L
EDELAMC - ESILVER,71.49,72.6,L
SUNDARAM MULTI PAP LTD,2.8,2.85,L
SHAH METACORP LIMITED,4.4,4.45,L
GOI LOAN 7.38% 2027,99.16,99.61,L
ICICIPRAMC - ICICIBANKP,234.08,237.5,L
TATA TECHNOLOGIES LIMITED,1130.1,1151.15,L
MURUDESHWAR CERAMICS LTD,52.75,53.5,L
GUJARAT RAFFIA INDUST LTD,49,50,L
THE BYKE HOSPITALITY LTD,69.75,69.95,L
SAMEERA AGRO AND INFRA L,112.1,112.55,L

