MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty 50,     21571.95,     21414.20,     21539.40,     21285.55,     21462.25,1271908119581.34,5802055785,Y, ,43600263,     22124.15,     16828.35
Y,NIFTY50 EQL Wgt,     26706.00,     26562.50,     26641.15,     26230.10,     26562.10,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 EQL Wgt,     27031.05,     26917.25,     26978.10,     26443.75,     26874.85,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 LowVol30,     17260.35,     17179.90,     17211.30,     16964.90,     17164.85,0,0,Y, ,0,          .00,          .00
Y,NIFTY Alpha 50,     44157.60,     44210.65,     44415.30,     42854.10,     44251.10,0,0,Y, ,0,          .00,          .00
Y,NIFTY MIDCAP 150,     17413.15,     17386.50,     17431.50,     16978.05,     17409.45,0,0,Y, ,0,     17738.25,     11016.50
Y,NIFTY SMLCAP 50,      7206.10,      7196.35,      7237.50,      6993.90,      7187.40,0,0,Y, ,0,      7444.65,      3984.65
Y,NIFTY SMLCAP 250,     14396.60,     14386.30,     14455.60,     14042.70,     14394.95,0,0,Y, ,0,     14676.05,      8492.40
Y,NIFTY MIDSML 400,     16362.55,     16342.25,     16395.95,     15958.35,     16359.65,0,0,Y, ,0,     16660.25,     10106.00
Y,NIFTY200 QUALTY30,     18597.55,     18530.80,     18567.80,     18153.15,     18450.65,0,0,Y, ,0,          .00,          .00
Y,Nifty FinSrv25 50,     22016.25,     21781.00,     22039.65,     21655.40,     21862.15,0,0,Y, ,0,          .00,          .00
Y,NIFTY AlphaLowVol,     23670.15,     23604.85,     23668.45,     23286.85,     23613.95,0,0,Y, ,0,          .00,          .00
Y,Nifty200Momentm30,     27716.70,     27701.75,     27791.95,     27038.45,     27739.10,0,0,Y, ,0,          .00,          .00
Y,Nifty100ESGSecLdr,      3531.45,      3507.80,      3525.30,      3483.20,      3515.10,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 ESG,      4201.40,      4175.25,      4190.75,      4128.55,      4176.15,0,0,Y, ,0,          .00,          .00
Y,NIFTY M150 QLTY50,     20603.60,     20619.50,     20654.15,     20158.90,     20626.00,0,0,Y, ,0,          .00,          .00
Y,NIFTY INDIA MFG,     10969.80,     10948.10,     10994.60,     10749.95,     10974.10,0,0,Y, ,0,          .00,          .00
Y,Nifty200 Alpha 30,     21116.10,     21125.70,     21207.30,     20542.45,     21160.05,0,0,Y, ,0,          .00,          .00
Y,NiftyM150Momntm50,     50334.95,     50295.25,     50417.75,     48890.85,     50279.15,0,0,Y, ,0,          .00,          .00
Y,Nifty IT,     36960.40,     36784.35,     36826.45,     36136.40,     36730.50,0,0,Y, ,0,     37929.30,     26184.45
Y,Nifty Next 50,     54206.25,     54052.55,     54150.95,     52766.30,     53948.40,0,0,Y, ,0,     55056.75,     36850.75
Y,Nifty Bank,     46064.45,     45492.75,     46184.05,     45430.70,     45713.55,0,0,Y, ,0,     48636.45,     38613.15
Y,NIFTY MIDCAP 100,     47151.55,     47038.20,     47176.15,     45860.25,     47099.85,0,0,Y, ,0,     48053.45,     29200.20
Y,Nifty 500,     19487.60,     19388.40,     19468.65,     19143.50,     19414.80,0,0,Y, ,0,     19923.30,     14177.50
