SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
HDFC BANK LTD,      1537.50,      1486.15,80535465,             120402678844.55
INDIAN RAILWAY FIN CORP L,       149.10,       146.25,272134347,              39625808578.15
ORACLE FIN SERV SOFT LTD.,      5086.20,      6545.50,5287747,              32748559971.60
RAIL VIKAS NIGAM LIMITED,       240.40,       243.60,105611386,              25485578659.80
ICICI BANK LTD.,       981.75,       986.35,17902484,              17626126346.95
POLYCAB INDIA LIMITED,      4439.30,      4436.05,3940479,              17398954434.05
LTIMINDTREE LIMITED,      6275.60,      5603.00,2798324,              15670883172.50
BHEL,       207.10,       212.15,68991855,              14284446717.85
ZOMATO LIMITED,       127.40,       129.45,111946831,              14056750511.05
ZEE ENTERTAINMENT ENT LTD,       245.85,       248.20,55813937,              14054754068.65
RELIANCE INDUSTRIES LTD,      2723.15,      2735.90,5139719,              14005371079.55
AXIS BANK LIMITED,      1082.30,      1097.50,11473135,              12572042567.15
BAJAJ FINANCE LIMITED,      7358.85,      7265.55,1686996,              12283850683.60
PCBL LIMITED,       278.80,       311.00,37563894,              11416165065.25
NHPC LTD,        73.00,        71.10,157329595,              11015174084.70
INFOSYS LIMITED,      1640.20,      1642.60,6375464,              10451208678.00
NTPC LTD,       309.30,       299.30,32481018,               9756175573.20
COCHIN SHIPYARD LIMITED,       849.10,       865.65,11018034,               9524542109.25
TATA MOTORS LIMITED,       805.55,       819.05,11500495,               9346447986.25
STATE BANK OF INDIA,       626.00,       628.30,14695436,               9220794332.40
TATA CONSULTANCY SERV LT,      3884.60,      3902.60,2239110,               8705605580.15
THE SOUTH INDIAN BANK LTD,        28.40,        30.75,277548327,               8429605284.45
ICICI PRU LIFE INS CO LTD,       514.95,       486.20,17222774,               8215812759.70
TATA COMMUNICATIONS LTD,      1697.50,      1769.60,4604722,               8020226159.60
LARSEN & TOUBRO LTD.,      3570.95,      3596.00,2148898,               7719357081.85

