SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
21STCENMGM,BE,21ST CENTURY MGMT SERVICE,H
74GS2062,GS,GOI LOAN  7.4% 2062,H
771KL43,SG,SDL KL 7.71% 2043,H
ABAN,BE,ABAN OFFSHORE LTD.,H
ACCURACY,BE,ACCURACY SHIPPING LIMITED,H
AGNI,SM,AGNI GREEN POWER LTD,H
AKANKSHA,SM,AKANKSHA POWER N INFRA L,H
AKSHOPTFBR,BE,AKSH OPTIFIBRE  LTD,H
APS,ST,AUSTRALIAN PREM SOLAR I L,H
ASIANHOTNR,BE,ASIAN HOTELS (NORTH) LTD,H
ASMS,BE,BARTRONICS INDIA LIMITED,H
ATALREAL,BE,ATAL REALTECH LIMITED,H
BANKA,BE,BANKA BIOLOO LIMITED,H
BCONCEPTS,BE,BRAND CONCEPTS LIMITED,H
BEDMUTHA,EQ,BEDMUTHA INDUST LTD,H
BIL,BE,BHARTIYA INETRNATIONAL LT,H
BIRLACABLE,EQ,BIRLA CABLE LIMITED,H
CALSOFT,BE,CALIFORNIA SOFTWARE CO LT,H
CENTEXT,EQ,CENTURY EXTRUSIONS LTD,H
CEREBRAINT,BE,CEREBRA INT TECH LTD,H
CHOLAFIN,N7,SEC RE NCD SR 2,H
DCI,EQ,DC INFOTECH AND COMUN LTD,H
DRL,ST,DHANUKA REALTY LIMITED,H
DUGLOBAL,SM,DUDIGITAL GLOBAL LIMITED,H
EDUCOMP,BZ,EDUCOMP SOLUTIONS LTD,H
EMAMIREAL,BE,EMAMI REALTY LIMITED,H
EMSLIMITED,EQ,EMS LIMITED,H
FELIX,SM,FELIX INDUSTRIES LTD.,H
FMNL,EQ,FUTURE MKT NETWORKS LTD,H
FSC,BZ,FUTURE SUPP CHAIN SOL LTD,H
GANGAFORGE,BE,GANGA FORGING LIMITED,H
GAYAHWS,BE,GAYATRI HIGHWAYS LIMITED,H
GENCON,BE,GENERIC ENG CONS PROJ LTD,H
GICL,SM,GLOBE INTL CARRIERS LTD,H
GIRIRAJ,ST,GIRIRAJ CIVIL DEVP LTD,H
GKWLIMITED,BE,GKW LIMITED,H
GLFL,BE,GUJARAT LEASE FINANCING L,H
GOLDSTAR,ST,GOLDSTAR POWER LIMITED,H
GRPLTD,EQ,GRP LIMITED,H
GTL,BE,GTL LTD,H
HCL-INSYS,EQ,HCL INFOSYSTEMS LTD,H
HECPROJECT,BE,HEC INFRA PROJECTS LTD,H
HINDMOTORS,EQ,HINDUSTAN MOTORS LIMITED,H
HMT,BZ,HMT LTD -,H
HUBTOWN,EQ,HUBTOWN LIMITED,H
IBLFL,ST,IBL FINANCE LIMITED,H
IMPEXFERRO,EQ,IMPEX FERRO TECH LIMITED,H
INCREDIBLE,BE,INCREDIBLE INDUSTRIES LTD,H
INDOTECH,EQ,INDO TECH TRANSFORM LTD.,H
INDOTHAI,EQ,INDO THAI SEC LTD,H
INFOMEDIA,BE,INFOMEDIA PRESS LIMITED,H
INNOVATIVE,ST,INNOVATIVE TYRES & TUBES,H
INVENTURE,BE,INVENTURE GRO & SEC LTD,H
ISHAN,ST,ISHAN INTERNATIONAL LTD,H
JAICORPLTD,EQ,JAI CORP LIMITED,H
JYOTISTRUC,BE,JYOTI STRUCTURES,H
KAMATHOTEL,EQ,KAMAT HOTELS (I) LTD,H
KAMDHENU,EQ,KAMDHENU LIMITED,H
KCEIL,ST,KAY CEE ENERGY & INFRA L,H
KCK,SM,KCK INDUSTRIES LTD,H
KDL,SM,KORE DIGITAL LIMITED,H
KEEPLEARN,BE,DSJ KEEP LEARNING LTD,H
KILITCH,EQ,KILITCH DRUGS INDIA LTD,H
KODYTECH,SM,KODY TECHNOLAB LIMITED,H
LCCINFOTEC,BE,LCC INFOTECH LTD,H
LGHL,BE,LAXMI GOLDORNA HOUSE LTD,H
MADHAV,BE,MADHAV MARBLE & GRANITE,H
MADHUCON,BE,MADHUCON PROJECTS LTD.,H
MAGNUM,EQ,MAGNUM VENTURES LTD.,H
MAITREYA,SM,MAITREYA MEDICARE LIMITED,H
MDL,SM,MARVEL DECOR LIMITED,H
MINDPOOL,ST,MINDPOOL TECHNOLOGIES LTD,H
MKPL,EQ,M K PROTEINS LIMITED,H
MOS,SM,MOS UTILITY LIMITED,H
MPTODAY,SM,M P TODAY MEDIA LIMITED,H
NAGAFERT,EQ,NAGARJUN FERT AND CHE LTD,H
NAGREEKEXP,BE,NAGREEKA EXPORTS LTD.,H
NIRMAN,SM,NIRMAN AGRI GENTICS LTD,H
NUCLEUS,BE,NUCLEUS SOFTWARE EXPORTS,H
OILCOUNTUB,BE,OIL COUNTRY TUBULAR LTD.,H
OMAXE,EQ,OMAXE LIMITED,H
ORIENTLTD,EQ,ORIENT PRESS LIMITED,H
PARACABLES,EQ,PARAMOUNT COMM LTD,H
PERFECT,SM,PERFECT INFRAENGINEER LTD,H
PRAXIS,BE,PRAXIS HOME RETAIL LTD,H
RAJRILTD,BE,RAJ RAYON INDUSTRIES LTD,H
RANEENGINE,EQ,RANE ENG VALVE LTD,H
RVHL,EQ,RAVINDER HEIGHTS LIMITED,H
SALSTEEL,BE,S.A.L. STEEL LTD.,H
SANCO,BZ,SANCO INDUSTRIES LIMITED,H
SARTELE,SM,SAR TELEVENTURE LIMITED,H
SECL,SM,SALASAR EXTERIOR CONT LTD,H
SECURKLOUD,EQ,SECUREKLOUD TECH LIMITED,H
SELMC,BE,SEL MANUFACTURING CO LTD,H
SETCO,BE,SETCO AUTOMOTIVE LTD,H
SHAHALLOYS,EQ,SHAH ALLOYS LIMITED,H
SUPREMEPWR,SM,SUPREME POWER EQUIPMENT L,H
SURANASOL,BE,SURANA SOLAR LIMITED,H
SURANI,SM,SURANI STEEL TUBES LTD.,H
SUZLON,EQ,SUZLON ENERGY LIMITED,H
SWARAJ,SM,SWARAJ SUITING LIMITED,H
TARAPUR,BE,TARAPUR TRANSFORMERS LTD,H
TATAGOLD,EQ,TATAAML-TATAGOLD,H
TECHIN,BE,TECHINDIA NIRMAN LIMITED,H
TECHLABS,SM,TRIDENT TECHLABS LIMITED,H
THEINVEST,EQ,THE INVEST TRUST OF IND L,H
TIL,BZ,TIL LTD,H
TIMESGTY,BE,TIMES GUARANTY LIMITED,H
TIPSFILMS,BE,TIPS FILMS LIMITED,H
TREEHOUSE,EQ,TREE HOUSE EDU LTD,H
TVVISION,BE,TV VISION LIMITED,H
UMESLTD,BE,USHA MARTIN EDU & SOL LTD,H
UNIINFO,BE,UNIINFO TELECOM SERVI LTD,H
UNITECH,BZ,UNITECH LIMITED,H
UNIVAFOODS,BE,UNIVA FOODS LIMITED,H
UNIVASTU,BE,UNIVASTU INDIA LIMITED,H
VASA,SM,VASA RETAIL & OVERSEA LTD,H
VERTOZ,EQ,VERTOZ ADVERTISING LTD,H
VIJIFIN,EQ,VIJI FINANCE LIMITED,H
VIKASECO,EQ,VIKAS ECOTECH LIMITED,H
VLEGOV,EQ,VL E GOV AND IT SOL LTD,H
VSCL,SM,VADIVARHE SPCLTY CHEM LTD,H
WALPAR,SM,WALPAR NUTRITIONS LIMITED,H
WELINV,BE,WELSPUN INV & COMM LTD,H
WINSOME,BE,WINSOME YARNS LIMITED,H
719PN37,SG,SDL PN 7.19% 2037,L
768KA37,SG,SDL KA 7.68% 2037,L
AIRAN,BE,AIRAN LIMITED,L
AISL,SM,ANI INTEGRATED SERV LTD.,L
AJOONI,BE,AJOONI BIOTECH LIMITED,L
AKSHAR,BE,AKSHAR SPINTEX LIMITED,L
ALOKINDS,EQ,ALOK INDUSTRIES LIMITED,L
ARTNIRMAN,BE,ART NIRMAN LIMITED,L
BURNPUR,BE,BURNPUR CEMENT LTD.,L
CALSOFT,BE,CALIFORNIA SOFTWARE CO LT,L
CORALFINAC,BE,CORAL INDIA FIN & HOUS LT,L
CUPID,BE,CUPID LIMITED,L
DIGIDRIVE,BE,DIGIDRIVE DISTRIBUTORS L,L
DRL,ST,DHANUKA REALTY LIMITED,L
DUCON,BE,DUCON INFRATECHNOLOGIES L,L
FELIX,SM,FELIX INDUSTRIES LTD.,L
FLFL,BZ,FUT LIFESTYLE FASH LTD,L
FSC,BZ,FUTURE SUPP CHAIN SOL LTD,L
GOLDENTOBC,BZ,GOLDEN TOBACCO LIMITED,L
GREENPOWER,EQ,ORIENT GREEN POWER CO LTD,L
GTECJAINX,BE,G-TEC JAINX EDUCATION LTD,L
GTLINFRA,EQ,GTL INFRA.LTD,L
GVKPIL,BE,GVK POW. & INFRA LTD.,L
HSCL,BE,HIMADRI SPECIALITY CHEM L,L
INDRAMEDCO,BE,INDRAPRASTHA MED-ROLLSETT,L
INFOMEDIA,BE,INFOMEDIA PRESS LIMITED,L
INNOVATIVE,ST,INNOVATIVE TYRES & TUBES,L
JAYBARMARU,EQ,JAY BHARAT MARUTI LTD,L
JWL,EQ,JUPITER WAGONS LIMITED,L
KANANIIND,EQ,KANANI INDUSTRIES LTD,L
KARMAENG,BE,KARMA ENERGY LIMITED,L
KBCGLOBAL,EQ,KBC GLOBAL LIMITED,L
KCEIL,ST,KAY CEE ENERGY & INFRA L,L
KRIDHANINF,BE,KRIDHAN INFRA LIMITED,L
LLOYDS,SM,LLOYDS LUXURIES LIMITED,L
MAANALU,EQ,MAAN ALUMINIUM LIMITED,L
MACPOWER,BE,MACPOWER CNC MACHINES LTD,L
MAITREYA,SM,MAITREYA MEDICARE LIMITED,L
MARINE,BE,MARINE ELECTRICAL (I) LTD,L
MEGAFLEX,SM,MEGA FLEX PLASTICS LTD,L
MGEL,EQ,MANGALAM GLOBAL ENT LTD,L
MIRCELECTR,BE,MIRCELECTR-DEPO,L
MPTODAY,SM,M P TODAY MEDIA LIMITED,L
MTEDUCARE,BE,MT EDUCARE LTD,L
MUNJALAU,EQ,MUNJAL AUTO IND. LTD.,L
NEWGEN,BE,NEWGEN SOFTWARE TECH LTD,L
NILAINFRA,EQ,NILA INFRASTRUCTURES LTD,L
ORIENTCER,EQ,ORIENT CERATECH LIMITED,L
PCJEWELLER,EQ,PC JEWELLER LTD,L
PERFECT,SM,PERFECT INFRAENGINEER LTD,L
PGIL,BE,PEARL GLOBAL IND LIMITED,L
PLAZACABLE,BE,PLAZA WIRES LIMITED,L
PRITI,BE,PRITI INTERNATIONAL LTD,L
PVP,BE,PVP VENTURES LIMITED,L
RADAAN,BE,RADAAN MEDIAWORKS (I) LTD,L
RBMINFRA,SM,RBM INFRACON LIMITED,L
RELIABLE,SM,RELIABLE DATA SERVICE LTD,L
SAGARDEEP,BE,SAGARDEEP ALLOYS LIMITED,L
SAHANA,SM,SAHANA SYSTEM LIMITED,L
SAMBHAAV,BE,SAMBHAAV MEDIA LTD,L
SANGHIIND,EQ,SANGHI INDUSTRIES LTD,L
SECMARK,BE,SECMARK CONSULTANCY LTD,L
SERVOTECH,BE,SERVOTECH POWER SYS LTD.,L
SETCO,BE,SETCO AUTOMOTIVE LTD,L
SHREYANIND,BE,SHREYANS INDUSTRIES LTD,L
SILGO,BE,SILGO RETAIL LIMITED,L
SKYGOLD,BE,SKY GOLD LIMITED,L
SMVD,SM,SMVD POLY PACK LIMITED,L
SUPREMEENG,BE,SUPREME ENGINEERING LTD,L
TALBROAUTO,BE,TALBROS AUTO. COMP. LTD,L
TGBHOTELS,BE,TGB BANQUETS&HOTELS LTD,L
TIJARIA,EQ,TIJARIA POLYPIPES LTD,L
TOUCHWOOD,BE,TOUCHWOOD ENTERTAIN LTD.,L
TVVISION,BE,TV VISION LIMITED,L
VCL,BE,VAXTEX COTFAB LIMITED,L
VELS,SM,VELS FILM INTERNATIONAL L,L
VIJIFIN,EQ,VIJI FINANCE LIMITED,L
VISESHINFO,BE,VISESH INFOTECNICS LTD,L
VIVIDHA,BE,VISAGAR POLYTEX LTD,L
WINSOME,BE,WINSOME YARNS LIMITED,L
XELPMOC,BE,XELPMOC DESIGN & TECH LTD,L
YAARI,BE,YAARI DIGI INT SER LTD,L
