MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AN,IBULHSGFIN,SEC RE NCD 9.71% SR.VIII,       956.00,       931.10,       931.10,       931.10,       931.10,                     2793.30,3, ,1,       999.00,       800.00
N,AP,IBULHSGFIN,SEC RE NCD 9.65% SR I,       961.00,       961.00,      1005.00,       961.00,      1005.00,                    89790.00,90, ,3,      1148.00,       900.10
N,BF,IBULHSGFIN,SEC RE NCD 9.65% SR I,       982.34,       982.34,       982.34,       982.00,       982.00,                    31431.48,32, ,2,      1019.22,       910.20
N,N0,IBULHSGFIN,SEC RE NCD 9.39% SR.VIII,       927.20,       920.00,       920.00,       920.00,       920.00,                    18400.00,20, ,2,      1038.00,       880.00
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       255.00,       255.50,       255.50,       255.50,       255.50,                     2555.00,10, ,1,       265.98,       215.15
N,N0,NAVIFIN,SEC RE NCD 9.75% SR. I,       972.00,       998.00,       998.20,       998.00,       998.20,                    59882.00,60, ,4,      1007.00,       972.00
N,N0,PEL,SEC RE NCD 9.00% SR I,      1010.00,      1004.56,      1004.56,      1004.50,      1004.50,                    50226.13,50, ,3,      1016.00,       985.00
N,N1,CREDITACC,SEC RE NCD 9.45% SR. I,      1002.10,      1000.00,      1005.00,      1000.00,      1005.00,                    60250.00,60, ,2,      1035.00,       973.00
N,N1,IIFLSAMFIN,SEC RE NCD 9.60% SR 2,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                    52000.00,52, ,2,      1010.00,       901.00
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       248.63,       255.10,       255.10,       255.10,       255.10,                     2551.00,10, ,1,       261.64,       240.00
N,N1,IREDA,IREDA 8.16NCDTR I SR I A,      1200.00,      1200.00,      1200.00,      1200.00,      1200.00,                     1200.00,1, ,1,      1830.00,      1200.00
N,N1,L&TFIN,SERENCD 9.25% SR.III OP2,      1072.00,      1072.00,      1072.00,      1072.00,      1072.00,                    85760.00,80, ,8,      1074.99,      1049.00
N,N1,NABARD,7.35% TAX FREE TRI SRIIA,      1174.50,      1175.00,      1175.00,      1175.00,      1175.00,                    18800.00,16, ,1,      1443.89,      1100.00
N,N1,NHIT,SEC RE NCD 7.90% STRPP A,       305.55,       305.30,       306.10,       305.30,       306.10,                   564153.69,1845, ,10,       318.79,       295.00
N,N1,UGROCAP,SEC RED NCD 10.03%,       335.82,       335.82,       335.82,       335.82,       335.82,                      335.82,1, ,1,       699.45,       300.00
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1154.00,      1163.00,      1163.00,      1163.00,      1163.00,                  2548133.00,2191, ,6,      1201.00,      1005.99
N,N2,IIFLSAMFIN,SEC RE NCD 9.57% SR 3,      1000.00,       990.01,       990.01,       990.01,       990.01,                    99001.00,100, ,1,      1004.80,       927.00
N,N2,INCREDFIN,SEC RE NCD 9.25% SR.II,      1083.00,      1075.00,      1075.25,      1075.00,      1075.25,                     2150.25,2, ,2,      1105.00,       956.70
N,N2,IREDA,IREDA 8.55NCDTR I SR II A,      1225.28,      1201.20,      1201.20,      1201.20,      1201.20,                     1201.20,1, ,1,      1650.00,      1080.10
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1096.13,      1106.00,      1106.00,      1098.45,      1106.00,                   776404.45,702, ,6,      1180.00,      1065.00
N,N2,M&MFIN,9.00% UNSECURED NCD,      1070.00,      1066.05,      1066.05,      1066.05,      1066.05,                    26651.25,25, ,3,      1119.90,      1017.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1180.55,      1185.00,      1185.20,      1182.25,      1182.96,                   629618.25,532, ,15,      1213.00,      1062.30
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1107.01,      1107.01,      1110.00,      1106.01,      1107.01,                  2034630.35,1836, ,16,      1177.00,      1062.20
N,N2,NHIT,SEC RE NCD 7.90% STRPP B,       306.62,       307.00,       308.50,       307.00,       307.20,                  1129657.20,3666, ,11,       320.21,       299.00
N,N2,NHPC,8.54% SEC RED BOND S2A,      1354.99,      1354.99,      1354.99,      1342.05,      1342.05,                     2697.04,2, ,2,      1460.00,      1150.00
N,N3,BRITANNIA,UNSEC RED NCD 5.50%,        29.62,        29.95,        29.95,        29.60,        29.69,                   287397.06,9692, ,66,        31.00,        28.00
N,N3,CREDITACC,SEC RE NCD 9.60% SR. III,      1008.00,      1008.00,      1008.00,      1008.00,      1008.00,                    23184.00,23, ,3,      1036.70,       985.00
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       255.10,       255.10,       255.10,       255.10,       255.10,                     2551.00,10, ,1,       268.55,       218.00
N,N3,IREDA,IREDA 8.55NCDTR I SR IIIA,      1365.60,      1365.00,      1365.00,      1365.00,      1365.00,                     6825.00,5, ,1,      1723.00,      1365.00
N,N3,NHIT,SEC RE NCD 7.90% STRPP C,       408.50,       408.65,       408.65,       408.00,       408.00,                   283121.00,693, ,4,       428.46,       392.00
N,N4,CREDITACC,SEC RE NCD SR. IV,      1010.00,      1135.00,      1135.00,      1135.00,      1135.00,                   138470.00,122, ,1,      1135.00,       863.65
N,N4,IIFCL,8.91% TAX FREE NCD,      1251.15,      1259.00,      1259.00,      1259.00,      1259.00,                    61691.00,49, ,2,      1359.90,      1241.02
N,N4,IIFLSAMFIN,SEC RE NCD 10.03% SR 5,       999.00,       999.00,      1000.00,       998.00,       998.15,                   658474.50,659, ,7,      1009.89,       980.00
N,N4,IIHFL,UNSEC RE NCD 10% SR.I,      1001.00,       970.00,       995.00,       970.00,       985.00,                   706125.50,727, ,8,      1149.00,       925.00
N,N4,INCREDFIN,SEC RE NCD 9.45% SR.I,       979.64,       985.00,       985.00,       981.02,       981.02,                    16705.20,17,XI,4,      1015.03,       979.64
N,N4,IRFC,7.34 NCD 19FEB28 TR1 SR2,      1087.45,      1100.00,      1101.99,      1085.15,      1090.99,                   562940.45,514, ,28,      1169.90,      1050.50
N,N4,NAVIFIN,SEC RE NCD 9.75% SR. IV,      1026.01,      1045.80,      1045.80,      1028.00,      1028.00,                   155788.60,149, ,2,      1097.98,       985.00
N,N4,NHAI,8.52% TAX FREE TR I S IB,      1082.97,      1081.00,      1082.97,      1080.50,      1081.44,                   131893.92,122, ,9,      1180.00,      1015.00
N,N4,TATACAPHSG,SEC RED NCD 8.01% SR.II,       999.00,       999.99,      1006.50,       999.00,       999.38,                   406767.46,407, ,14,      1100.01,       975.01
N,N5,CREDITACC,SEC RE NCD 10% SR. V,      1015.00,      1022.00,      1023.00,      1022.00,      1022.00,                   256597.00,251, ,4,      1072.00,       981.00
