MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,        46.57,        46.57,        48.00,        45.92,        46.20,                  5918607.07,128305,2142,        49.95,        38.70,NIFTY BANK
N,EQ,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,      1000.00,      1000.00,      1000.01,       999.99,       999.99,                  7322985.86,7323,26,      1002.00,       999.01,CRISIL OVERNIGHT FUND AI INDEX
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,        55.93,        55.62,        55.79,        54.60,        55.70,                   297395.06,5371,154,        56.87,        37.52,NIFTY NEXT 50 ETF
N,EQ,ALPHAETF,MIRAEAMC - ALPHAETF,        21.27,        21.28,        21.28,        20.62,        21.17,                  2928754.08,138792,354,        22.02,        16.56,NIFTY 200 ALPHA 30 TOTAL RETURN INDEX
N,EQ,ALPL30IETF,ICICIPRAMC - ICICIALPLV,       242.55,       241.41,       242.75,       238.84,       242.10,                 17234503.43,71433,410,       250.49,       167.06,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,AUTOBEES,NIPPONAMC - NETFAUTO,       187.49,       193.10,       193.10,       184.52,       187.72,                 11719891.91,62744,1866,       194.50,       120.20,NIFTY AUTO INDEX
N,EQ,AUTOIETF,ICICIPRAMC - ICICIAUTO,       187.38,       187.01,       188.37,       184.32,       187.95,                 17132583.40,91950,255,       197.44,       120.40,NIFTY AUTO INDEX
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       467.76,       467.00,       468.60,       462.52,       464.68,                  3277347.84,7043,206,       495.98,       389.79,NIFTY BANK INDEX
N,EQ,AXISBPSETF,AXISAMC - AXISBPSETF,        11.44,        11.80,        13.30,        11.44,        11.44,                   658412.72,57526,594,        13.30,        10.05,NIFTY AAA BOND PLUS SDL APR 2026 50:50 INDEX
N,EQ,AXISCETF,AXISAMC - AXISCETF,        97.33,       101.94,       101.94,        95.62,        96.72,                   221773.37,2289,64,       102.35,        70.96,NIFTY INDIA CONSUMPTION INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        52.81,        54.40,        54.40,        50.83,        52.71,                  5010141.90,95116,1617,        55.60,        47.01,GOLD
N,EQ,AXISHCETF,AXISAMC - AXISHCETF,       110.03,       109.30,       110.99,       107.27,       110.57,                   667449.88,6139,112,       113.60,        74.05,NIFTY HEALTHCARE INDEX
N,EQ,AXISILVER,AXISAMC - AXISILVER,        72.49,        72.51,        72.51,        72.14,        72.39,                   669895.05,9255,142,        79.48,        62.81,SILVER
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       232.08,       236.50,       236.50,       229.31,       230.73,                  4103819.66,17845,394,       240.35,       179.30,NIFTY 50
N,EQ,AXISTECETF,AXISAMC - AXISTECETF,       387.17,       386.37,       387.11,       378.24,       384.88,                  1440883.15,3775,105,       396.40,       274.64,NIFTY IT INDEX
N,EQ,AXSENSEX,AXISAMC - AXSENSEX,        72.29,        75.55,        75.55,        71.11,        72.05,                   112175.73,1564,66,        85.00,        57.20,S & P BSE SENSEX TRI
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       470.54,       467.99,       471.18,       461.00,       466.59,                903331415.26,1932438,23318,       495.00,       391.71,NIFTY BANK
N,EQ,BANKETF,MIRAEAMC - BANKETF,       461.83,       461.86,       462.59,       456.00,       457.98,                  7270178.02,15858,478,       553.25,       421.00,NIFTY BANK TOTAL RETURN INDEX
N,EQ,BANKIETF,ICICIPRAMC - IPRU5008,        46.54,        46.50,        46.67,        45.99,        46.23,                 15005196.03,324596,1778,        50.92,        38.00,NIFTY BANK
N,EQ,BBETF0432,EDELAMC - BBETF0432,      1107.10,      1107.11,      1109.99,      1107.10,      1107.50,                  1421588.04,1284,13,      1325.38,       844.00,NIFTY BHARAT BOND INDEX - APRIL 2032
N,EQ,BBNPPGOLD,BARODABNP - BBNPPGOLD,        61.75,        61.75,        61.80,        59.05,        59.35,                    58796.05,965,17,        65.00,        56.00,GOLD
N,EQ,BFSI,MIRAEAMC - MAFSETF,        20.88,        21.19,        21.39,        20.53,        20.67,                 28840909.08,1395202,4729,        22.45,        17.35,NIFTY FINANCIAL SERVICES TOTAL RETURN INDEX
N,EQ,BSE500IETF,ICICIPRAMC - ICICI500,        32.71,        32.74,        32.75,        32.16,        32.58,                  5409824.53,166716,770,        33.69,        23.71,S&P BSE 500 INDEX
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,        55.78,        55.75,        55.75,        55.30,        55.39,                   424347.02,7645,270,        57.80,        42.82,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,        24.54,        24.85,        24.88,        24.10,        24.41,                  3095149.78,127010,3195,        25.75,        18.65,NIFTY 50
N,EQ,BSLSENETFG,BIRLASLAMC - BSLSENETFG,        70.12,        70.00,        70.00,        69.11,        69.79,                    74612.21,1072,72,        77.00,        55.05,BSE SENSEX INDEX
N,EQ,COMMOIETF,ICICIPRAMC - ICICICOMMO,        76.98,        76.99,        77.39,        75.26,        76.51,                  7151296.16,93800,514,        79.17,        53.75,NIFTY COMMODITIES INDEX
N,EQ,CONSUMBEES,NIP IND ETF CONSUMPTION,       105.11,       105.10,       105.10,       103.27,       104.39,                  5595205.49,53764,667,       107.05,        76.53,NIFTY CONSUMPTION INDEX
N,EQ,CONSUMIETF,ICICIPRAMC - ICICICONSU,        97.41,        96.89,        97.09,        95.81,        96.83,                 10579419.91,109505,135,       108.00,        71.00,NIFTY INDIA CONSUMPTION INDEX
N,EQ,CPSEETF,CPSE ETF,        69.20,        69.49,        69.50,        66.90,        68.62,                378250394.94,5537623,13058,        70.30,        37.01,NIFTY CPSE
N,EQ,DIVOPPBEES,NIP IND ETF DIV OPP,        69.89,        71.20,        71.20,        68.29,        69.55,                  2874498.48,41516,953,        72.40,        46.69,NIFTY DIV OPPS 50
N,EQ,DSPBANKETF,DSPAMC - DSPBANKETF,        46.62,        45.68,        47.64,        45.68,        46.15,                  4644201.31,100457,10949,        51.00,        35.90,NIFTY BANK INDEX
N,EQ,DSPGOLDETF,DSPAMC - DSPGOLDETF,        62.00,        62.00,        62.00,        61.20,        61.46,                   188774.79,3070,60,        71.70,        55.00,GOLD
N,EQ,DSPITETF,DSPAMC - DSPITETF,        37.02,        38.02,        38.02,        36.39,        37.00,                   109428.01,2972,70,        39.40,        29.00,NIFTY IT INDEX
N,EQ,DSPN50ETF,DSPAMC - DSPN50ETF,       220.70,       220.12,       220.65,       218.18,       219.96,                  1639397.87,7467,77,       254.00,       170.95,NIFTY 50 INDEX
N,EQ,DSPNEWETF,DSPAMC - DSPNEWETF,       273.07,       274.01,       280.05,       268.60,       272.90,                  6018579.85,22150,192,       287.96,       194.25,NIFTY50 EQUAL WEIGHT INDEX
N,EQ,DSPPSBKETF,DSPAMC - DSPPSBKETF,        58.04,        58.14,        58.85,        56.99,        58.65,                 10222167.97,175316,89,        66.00,        43.92,NIFTY PSU BANK INDEX
N,EQ,DSPPVBKETF,DSPAMC - DSPPVBKETF,        23.96,        24.69,        24.69,        23.61,        23.75,                 41075821.57,1729859,474,        28.06,        21.75,NIFTY PRIVATE BANK INDEX
N,EQ,DSPQ50ETF,DSPAMC - DSPQ50ETF,       208.98,       208.97,       215.15,       204.37,       212.48,                   374602.40,1808,113,       215.15,       151.15,NIFTY MIDCAP 150 QUALITY 50 INDEX
N,EQ,DSPSENXETF,DSPAMC - DSPSENXETF,        71.89,        72.00,        72.00,        70.45,        71.52,                    50319.16,705,51,        83.00,        63.03,S&P BSE SENSEX INDEX
N,EQ,DSPSILVETF,DSPAMC - DSPSILVETF,        70.32,        70.18,        70.24,        69.81,        70.08,                   533993.76,7624,91,        78.80,        60.52,SILVER
